Task,Function
enlarge a photograph to four times its original size ,"def resize_image(image):
    # img = misc.imread(filename)
    h = img.shape[0]
    w = img.shape[1]
    # print(img.shape)
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    # print(img_new.shape)
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    # misc.imsave(out_filename, img_new)
    return img_new"
Increase the size of an image to four times its current shape. ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
Increase the size of an image to four times its current shape. ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
Increase the size of an image to four times its current shape. ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
Increase the size of an image to four times its current shape. ,"def resize_image(image):
    
    #resize an image to 4 times its shape
    
    # get the shape of the image
    rows, cols, channels = image.shape
    # resize the image
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
Increase the size of an image to four times its current shape. ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
Increase the size of an image to four times its current shape. ,"def resize_image(img, scale=4):
    
    # Bilinear interpolation
    # :param img: input image
    # :param scale: scale factor
    # :return:
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
Increase the size of an image to four times its current shape. ,"def resize_image(image):
    # img = misc.imread(filename)
    h = img.shape[0]
    w = img.shape[1]
    # print(img.shape)
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    # print(img_new.shape)
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    # misc.imsave(out_filename, img_new)
    return img_new"
resize an image to be four times its original shape. ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
resize an image to be four times its original shape. ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
resize an image to be four times its original shape. ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
resize an image to be four times its original shape. ,"def resize_image(image):
    
    #resize an image to 4 times its shape
    
    # get the shape of the image
    rows, cols, channels = image.shape
    # resize the image
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
resize an image to be four times its original shape. ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
resize an image to be four times its original shape. ,"def resize_image(img, scale=4):
    
    # Bilinear interpolation
    # :param img: input image
    # :param scale: scale factor
    # :return:
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
resize an image to be four times its original shape. ,"def resize_image(image):
    # img = misc.imread(filename)
    h = img.shape[0]
    w = img.shape[1]
    # print(img.shape)
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    # print(img_new.shape)
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    # misc.imsave(out_filename, img_new)
    return img_new"
Adjust the size of an image so that it is four times its original shape. ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
Adjust the size of an image so that it is four times its original shape. ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
Adjust the size of an image so that it is four times its original shape. ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
Adjust the size of an image so that it is four times its original shape. ,"def resize_image(image):
    
    #resize an image to 4 times its shape
    
    # get the shape of the image
    rows, cols, channels = image.shape
    # resize the image
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
Adjust the size of an image so that it is four times its original shape. ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
Adjust the size of an image so that it is four times its original shape. ,"def resize_image(img, scale=4):
    
    # Bilinear interpolation
    # :param img: input image
    # :param scale: scale factor
    # :return:
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
Adjust the size of an image so that it is four times its original shape. ,"def resize_image(image):
    # img = misc.imread(filename)
    h = img.shape[0]
    w = img.shape[1]
    # print(img.shape)
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    # print(img_new.shape)
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    # misc.imsave(out_filename, img_new)
    return img_new"
image scaled up to four times its original shape ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
image scaled up to four times its original shape ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
image scaled up to four times its original shape ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
image scaled up to four times its original shape ,"def resize_image(image):
    
    #resize an image to 4 times its shape
    
    # get the shape of the image
    rows, cols, channels = image.shape
    # resize the image
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
image scaled up to four times its original shape ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
image scaled up to four times its original shape ,"def resize_image(img, scale=4):
    
    # Bilinear interpolation
    # :param img: input image
    # :param scale: scale factor
    # :return:
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
image scaled up to four times its original shape ,"def resize_image(image):
    # img = misc.imread(filename)
    h = img.shape[0]
    w = img.shape[1]
    # print(img.shape)
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    # print(img_new.shape)
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    # misc.imsave(out_filename, img_new)
    return img_new"
fourfold the size of an image's shape ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
fourfold the size of an image's shape ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
fourfold the size of an image's shape ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
fourfold the size of an image's shape ,"def resize_image(image):
    
    #resize an image to 4 times its shape
    
    # get the shape of the image
    rows, cols, channels = image.shape
    # resize the image
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
fourfold the size of an image's shape ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
fourfold the size of an image's shape ,"def resize_image(img, scale=4):
    
    # Bilinear interpolation
    # :param img: input image
    # :param scale: scale factor
    # :return:
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
fourfold the size of an image's shape ,"def resize_image(image):
    # img = misc.imread(filename)
    h = img.shape[0]
    w = img.shape[1]
    # print(img.shape)
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    # print(img_new.shape)
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    # misc.imsave(out_filename, img_new)
    return img_new"
enlarge an image fourfold its shape ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
enlarge an image fourfold its shape ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
enlarge an image fourfold its shape ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
enlarge an image fourfold its shape ,"def resize_image(image):
    
    #resize an image to 4 times its shape
    
    # get the shape of the image
    rows, cols, channels = image.shape
    # resize the image
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
enlarge an image fourfold its shape ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
enlarge an image fourfold its shape ,"def resize_image(img, scale=4):
    
    # Bilinear interpolation
    # :param img: input image
    # :param scale: scale factor
    # :return:
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
enlarge an image fourfold its shape ,"def resize_image(image):
    # img = misc.imread(filename)
    h = img.shape[0]
    w = img.shape[1]
    # print(img.shape)
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    # print(img_new.shape)
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    # misc.imsave(out_filename, img_new)
    return img_new"
image resizing to four times the original size ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
image resizing to four times the original size ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
image resizing to four times the original size ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
image resizing to four times the original size ,"def resize_image(image):
    
    #resize an image to 4 times its shape
    
    # get the shape of the image
    rows, cols, channels = image.shape
    # resize the image
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
image resizing to four times the original size ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
image resizing to four times the original size ,"def resize_image(img, scale=4):
    
    # Bilinear interpolation
    # :param img: input image
    # :param scale: scale factor
    # :return:
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
image resizing to four times the original size ,"def resize_image(image):
    # img = misc.imread(filename)
    h = img.shape[0]
    w = img.shape[1]
    # print(img.shape)
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    # print(img_new.shape)
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    # misc.imsave(out_filename, img_new)
    return img_new"
4x image size ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
4x image size ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
4x image size ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
4x image size ,"def resize_image(image):
    
    #resize an image to 4 times its shape
    
    # get the shape of the image
    rows, cols, channels = image.shape
    # resize the image
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
4x image size ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
4x image size ,"def resize_image(img, scale=4):
    
    # Bilinear interpolation
    # :param img: input image
    # :param scale: scale factor
    # :return:
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
4x image size ,"def resize_image(image):
    # img = misc.imread(filename)
    h = img.shape[0]
    w = img.shape[1]
    # print(img.shape)
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    # print(img_new.shape)
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    # misc.imsave(out_filename, img_new)
    return img_new"
enlarge an image by 4 ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
enlarge an image by 4 ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
enlarge an image by 4 ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
enlarge an image by 4 ,"def resize_image(image):
    
    #resize an image to 4 times its shape
    
    # get the shape of the image
    rows, cols, channels = image.shape
    # resize the image
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
enlarge an image by 4 ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
enlarge an image by 4 ,"def resize_image(img, scale=4):
    
    # Bilinear interpolation
    # :param img: input image
    # :param scale: scale factor
    # :return:
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
enlarge an image by 4 ,"def resize_image(image):
    # img = misc.imread(filename)
    h = img.shape[0]
    w = img.shape[1]
    # print(img.shape)
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    # print(img_new.shape)
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    # misc.imsave(out_filename, img_new)
    return img_new"
4x an image's size ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
4x an image's size ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
4x an image's size ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
4x an image's size ,"def resize_image(image):
    
    #resize an image to 4 times its shape
    
    # get the shape of the image
    rows, cols, channels = image.shape
    # resize the image
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
4x an image's size ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
4x an image's size ,"def resize_image(img, scale=4):
    
    # Bilinear interpolation
    # :param img: input image
    # :param scale: scale factor
    # :return:
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
4x an image's size ,"def resize_image(image):
    # img = misc.imread(filename)
    h = img.shape[0]
    w = img.shape[1]
    # print(img.shape)
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    # print(img_new.shape)
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    # misc.imsave(out_filename, img_new)
    return img_new"
combine two images by adding them,"def combine_images(img1, img2):
    return cv2.add(img1, img2)"
join two photos together by adding them ,"def combine_images(img1, img2):
    return cv2.add(img1, img2)"
"simply adding them, merge two photos. ","def combine_images(img1, img2):
    return cv2.add(img1, img2)"
merge two photos by adding them ,"def combine_images(img1, img2):
    return cv2.add(img1, img2)"
simply combining two photos together ,"def combine_images(img1, img2):
    return cv2.add(img1, img2)"
add the two pictures together. ,"def combine_images(img1, img2):
    return cv2.add(img1, img2)"
Add the two pictures together to create a new one. ,"def combine_images(img1, img2):
    return cv2.add(img1, img2)"
Add the two pictures together to create one composite. ,"def combine_images(img1, img2):
    return cv2.add(img1, img2)"
Add the two pictures together to create a new one. ,"def combine_images(img1, img2):
    return cv2.add(img1, img2)"
Add two photos. ,"def combine_images(img1, img2):
    return cv2.add(img1, img2)"
add two images ,"def combine_images(img1, img2):
    return cv2.add(img1, img2)"
merge two pictures by combining them. ,"def combine_images(img1, img2):
    return cv2.add(img1, img2)"
add the two pictures together. ,"def combine_images(img1, img2):
    return cv2.add(img1, img2)"
combine two pictures by adding them. ,"def combine_images(img1, img2):
    return cv2.add(img1, img2)"
blur the image ,"def blur_image(img):
    return cv2.GaussianBlur(img, (11, 11), 0)"
blur the image ,"def blur_image(x, k):
    #k is kernel size
    kernel = np.ones((k, k), np.float32) / k ** 2
    return cv2.filter2D(x, -1, kernel)"
blur the image ,"def blur_image(x, k=5, sigma=1.4):
    return cv2.GaussianBlur(x, (k, k), sigma)"
blur the image ,"def blur_img(img, blur_size):
    # bluring image
    tmp_img = img.astype(np.float32)
    tmp_img = cv2.GaussianBlur(tmp_img, (blur_size, blur_size), 0)
    tmp_img = np.clip(tmp_img, 0, 255)
    res = tmp_img.astype(np.uint8)

    return res"
picture blur ,"def blur_image(img):
    return cv2.GaussianBlur(img, (11, 11), 0)"
picture blur ,"def blur_image(x, k):
    #k is kernel size
    kernel = np.ones((k, k), np.float32) / k ** 2
    return cv2.filter2D(x, -1, kernel)"
picture blur ,"def blur_image(x, k=5, sigma=1.4):
    return cv2.GaussianBlur(x, (k, k), sigma)"
picture blur ,"def blur_img(img, blur_size):
    # bluring image
    tmp_img = img.astype(np.float32)
    tmp_img = cv2.GaussianBlur(tmp_img, (blur_size, blur_size), 0)
    tmp_img = np.clip(tmp_img, 0, 255)
    res = tmp_img.astype(np.uint8)

    return res"
image blur ,"def blur_image(img):
    return cv2.GaussianBlur(img, (11, 11), 0)"
image blur ,"def blur_image(x, k):
    #k is kernel size
    kernel = np.ones((k, k), np.float32) / k ** 2
    return cv2.filter2D(x, -1, kernel)"
image blur ,"def blur_image(x, k=5, sigma=1.4):
    return cv2.GaussianBlur(x, (k, k), sigma)"
image blur ,"def blur_img(img, blur_size):
    # bluring image
    tmp_img = img.astype(np.float32)
    tmp_img = cv2.GaussianBlur(tmp_img, (blur_size, blur_size), 0)
    tmp_img = np.clip(tmp_img, 0, 255)
    res = tmp_img.astype(np.uint8)

    return res"
muddy up the picture,"def blur_image(img):
    return cv2.GaussianBlur(img, (11, 11), 0)"
muddy up the picture,"def blur_image(x, k):
    #k is kernel size
    kernel = np.ones((k, k), np.float32) / k ** 2
    return cv2.filter2D(x, -1, kernel)"
muddy up the picture,"def blur_image(x, k=5, sigma=1.4):
    return cv2.GaussianBlur(x, (k, k), sigma)"
muddy up the picture,"def blur_img(img, blur_size):
    # bluring image
    tmp_img = img.astype(np.float32)
    tmp_img = cv2.GaussianBlur(tmp_img, (blur_size, blur_size), 0)
    tmp_img = np.clip(tmp_img, 0, 255)
    res = tmp_img.astype(np.uint8)

    return res"
